draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,sigma
1622,12058.598210638576,0.999992333420911,0.025731010478064465,7.0,255.0,0.0,-12056.546327711196,-0.24983032856706475,0.7042251427487122,0.29157626610321474,0.3149564706235313,0.13286479068855928
1623,12056.964804426594,0.9999443746924804,0.027611744434291367,7.0,127.0,0.0,-12054.278622270687,-0.23380359810345755,0.6999232585673157,0.29262688200643383,0.3066554753650409,0.13293519962106656
1624,12058.048029833466,0.9815365450223742,0.02320372495041992,7.0,255.0,0.0,-12056.713831852649,-0.23465391630511798,0.6965614553919703,0.29483248836916776,0.3180902246710631,0.13480374996018107
1625,12058.106810935744,0.9977611352278313,0.027567250146182155,7.0,127.0,0.0,-12056.92905044506,-0.2530656929166023,0.6973280815460766,0.2984405876790067,0.3255210180825598,0.13415616581686596
1626,12057.845296691818,0.8219204971299706,0.025731010478064465,7.0,139.0,0.0,-12054.925138357887,-0.2526998515600262,0.723449808968715,0.27427354484903155,0.3080866407571519,0.13503469574729243
1627,12057.913922732321,0.6721895995872175,0.027611744434291367,6.0,115.0,0.0,-12052.185610121544,-0.24881981609844778,0.6987035083635852,0.297738694390408,0.31402246257582384,0.13313998936753796
1628,12057.979828393696,0.9725619748853783,0.02320372495041992,7.0,127.0,0.0,-12056.50950334434,-0.2475048786389533,0.6940054095361881,0.3012380154056654,0.3178936902002185,0.13592785114610728
1629,12058.52130335219,0.9999018408788937,0.027567250146182155,7.0,127.0,0.0,-12056.010448420568,-0.2592102097704878,0.7130103740236473,0.28522688193440865,0.31440944708331797,0.13371097167454504
1630,12058.35498265445,0.6597258635013425,0.025731010478064465,6.0,99.0,0.0,-12051.410741824111,-0.26226671097015625,0.7031576764201711,0.29544556589448245,0.3198956906913539,0.13459908178746843
1631,12056.686482942061,0.9808562179416396,0.027611744434291367,6.0,63.0,0.0,-12056.141661489046,-0.2476099378593373,0.6974254825796955,0.2979948165510064,0.3114795349630409,0.13271554853043885
1632,12058.004034448668,0.9685973297246402,0.02320372495041992,7.0,127.0,0.0,-12055.688648526997,-0.24214722869406263,0.706586214248536,0.2878575757020994,0.3120540562717856,0.13580207077936912
1633,12057.56889300046,0.9808948662988772,0.027567250146182155,7.0,127.0,0.0,-12056.44337947417,-0.24253440881328323,0.7024715840008743,0.29221461230674023,0.3088009052214436,0.13599002070094832
1634,12058.223777080757,0.9999807997470382,0.025731010478064465,7.0,127.0,0.0,-12056.296877984312,-0.24835573789199225,0.6873444909486243,0.30698564376244103,0.3248196396704071,0.13458255917856524
1635,12057.392136186023,0.8284191975636002,0.027611744434291367,6.0,127.0,0.0,-12054.27941498022,-0.24741705272247205,0.6988608924504814,0.29700036490604287,0.3101930720036219,0.13284240410585296
1636,12057.971920053054,0.9992529031952113,0.02320372495041992,7.0,191.0,0.0,-12055.941278925155,-0.2410917898874112,0.6994092806384014,0.29406430498024855,0.3127441344683641,0.13580856699186653
1637,12056.934049111402,0.9903407727364668,0.027567250146182155,7.0,127.0,0.0,-12055.999244592802,-0.263249253585356,0.6966971550186102,0.3019759562447528,0.3229313034083966,0.13289177647241665
1638,12056.043609208746,0.9774462663273991,0.025731010478064465,6.0,63.0,0.0,-12055.05806490079,-0.24697473540861256,0.6784703532145429,0.3166846505233647,0.31714139231070004,0.13485733993317983
1639,12054.442827666971,0.9999819410620414,0.027611744434291367,7.0,127.0,0.0,-12053.808214473838,-0.22936955594750175,0.7138378559154551,0.27617906977546364,0.3108725120031977,0.1364886417773634
1640,12057.607808378845,0.9637257685024169,0.02320372495041992,7.0,255.0,0.0,-12054.351720562749,-0.25919793202715297,0.7183340151002603,0.27924216239454586,0.31884647276971995,0.13544526327413078
1641,12055.823841245468,0.9433221895922528,0.027567250146182155,7.0,255.0,0.0,-12053.258874898134,-0.24164019694870173,0.7308440000789267,0.26433221779141275,0.3024286499545211,0.1350516598332956
1642,12057.48572332193,0.9886872823679199,0.025731010478064465,7.0,191.0,0.0,-12054.517592399712,-0.25066224739244386,0.724751915705222,0.2714332407999017,0.3136347289864049,0.13379787998302578
1643,12056.468453637483,0.9138240537355105,0.027611744434291367,7.0,255.0,0.0,-12051.68967905787,-0.24525303510908084,0.6836388283044066,0.311168913007363,0.31453179807778303,0.13349860637678723
1644,12057.326962996252,0.994617087669566,0.02320372495041992,7.0,127.0,0.0,-12056.131106413099,-0.262293868859742,0.7195121829917985,0.27923741574564015,0.31674006861806536,0.13570609064275896
1645,12056.54793303569,0.7145310521875332,0.027567250146182155,7.0,147.0,0.0,-12051.90531678532,-0.2571084066583205,0.6876772278567362,0.30902413213511803,0.32708076654553975,0.13282744995790718
1646,12057.5013508479,0.9498456943288924,0.025731010478064465,6.0,63.0,0.0,-12056.66896758901,-0.2561775993581365,0.724721257362762,0.27262223120498963,0.31145257667755544,0.13373056537685588
1647,12055.608770097135,0.8847236302339484,0.027611744434291367,7.0,191.0,0.0,-12051.324412449627,-0.23393874967013265,0.7140169518927494,0.27807466817647575,0.3114936539760155,0.1327470264417339
1648,12057.067985718437,0.9372605040657971,0.02320372495041992,7.0,255.0,0.0,-12055.346965450968,-0.26004759383073955,0.7258573125498942,0.2719236368094763,0.3166264312712917,0.13452774494522193
1649,12056.00329472956,0.9445757802281662,0.027567250146182155,6.0,63.0,0.0,-12055.454794756657,-0.2585382771324722,0.6912547509970416,0.30536693047879515,0.3276051231719983,0.1325328354080249
1650,12056.819840818122,0.993518663915674,0.025731010478064465,6.0,63.0,0.0,-12055.210558507762,-0.26334444134384716,0.7223655571029496,0.27758977528604134,0.3092035243510259,0.13346178780908147
1651,12055.046310442578,0.9964873789720572,0.027611744434291367,5.0,31.0,0.0,-12053.11530046139,-0.23313534855888324,0.7165242495783049,0.27411312755048806,0.3156176847917065,0.13313411283125776
1652,12057.504217478807,0.9901289892466965,0.02320372495041992,7.0,127.0,0.0,-12056.189570438879,-0.2640091829623025,0.7241573599952094,0.2760242082192156,0.31023414590549186,0.13434735582310292
1653,12056.340349309367,0.9999933579947513,0.027567250146182155,7.0,127.0,0.0,-12054.46666280897,-0.25350042095942854,0.6813042800528516,0.3148550141996544,0.32607198926902636,0.1331325590843217
1654,12055.308648496544,0.9924378949872564,0.025731010478064465,5.0,63.0,0.0,-12052.311205824046,-0.2627503207863797,0.7302905310101621,0.26832937514043625,0.31681645106542977,0.13284620683423567
1655,12057.388615190735,0.8117646626622529,0.027611744434291367,6.0,63.0,0.0,-12052.539046795078,-0.2331487700544542,0.7061922236830773,0.28453343917774127,0.31362915165641586,0.13362670469588778
1656,12057.145636201158,0.9909471364267691,0.02320372495041992,7.0,255.0,0.0,-12054.311155847687,-0.26133233633625247,0.6998047634103313,0.2978484066173944,0.3282266691955514,0.13389717067972146
1657,12055.34768098081,0.6900097178999711,0.027567250146182155,7.0,127.0,0.0,-12051.58874202088,-0.2437078241940693,0.6761441286978439,0.3166377141559769,0.3283268929775446,0.13279342942056122
1658,12057.443775719636,0.920258252952775,0.025731010478064465,7.0,127.0,0.0,-12053.682289391703,-0.2371867719037451,0.7067956603325941,0.28516640916641894,0.3123238448910955,0.13549350068458138
1659,12056.224502856341,0.9137173413624962,0.027611744434291367,6.0,127.0,0.0,-12051.571342817004,-0.259576646238096,0.7056395136177697,0.2924935681570123,0.31979001495140685,0.13683013337426597
1660,12055.824694972818,0.9417146088454186,0.02320372495041992,7.0,127.0,0.0,-12052.971511159145,-0.25815541027242944,0.6997612160064787,0.29690846923976777,0.33045334501244106,0.1340863298401608
1661,12050.7390306228,0.9840415895730669,0.027567250146182155,6.0,63.0,0.0,-12049.551411363502,-0.24438163882327238,0.6769484908949057,0.3168388433192453,0.3235350415426937,0.13066795193325245
1662,12053.095175573191,0.7170074742570107,0.025731010478064465,7.0,127.0,0.0,-12050.812704028694,-0.24020631220163421,0.6822482871166651,0.3100793329106836,0.31511401350221035,0.13503406617061023
1663,12055.030120033023,0.9038399416735964,0.027611744434291367,7.0,127.0,0.0,-12052.374834193583,-0.24523147062535172,0.6782238443710553,0.314884715173577,0.3278615206759106,0.13237567905951253
1664,12055.90598222193,0.98202682637155,0.02320372495041992,7.0,255.0,0.0,-12052.228816686038,-0.24965324047166756,0.705388420506242,0.2893811985669397,0.325965914526165,0.13537264096597934
1665,12057.238755914645,0.9986251758340657,0.027567250146182155,6.0,63.0,0.0,-12049.573594291958,-0.23538059388703642,0.6845303204499981,0.3065108465245992,0.32259395627357074,0.13355878628723852
1666,12056.937090464387,0.9974486039653361,0.025731010478064465,7.0,191.0,0.0,-12048.48772122967,-0.24645959206878704,0.6959602405887112,0.29940602111393216,0.3112584160302678,0.13267146473682978
1667,12054.455137200574,0.9634439252704902,0.027611744434291367,7.0,127.0,0.0,-12046.728832662335,-0.2732236423002833,0.7102114972625005,0.2906681607741594,0.3244699903542975,0.1363280172967172
1668,12054.4439988185,0.9998279440857819,0.02320372495041992,6.0,63.0,0.0,-12052.662326836273,-0.23916859168626736,0.7036810746837764,0.28751038588295347,0.32661334629532696,0.13560282617980404
1669,12056.507669932418,0.7753705465584638,0.027567250146182155,7.0,127.0,0.0,-12054.098082993934,-0.2615472766622142,0.6965241742821389,0.3018734549221886,0.32029377664129965,0.13607320114792493
